,csGHI,csPOA,dc_power,ac_power,time_of_year
2016-02-18 11:35:00-07:00,674.515909654356,952.8812445645124,1810.4743646725735,1810.4743646725735,0.13246622647237402
2016-02-18 11:36:00-07:00,675.2586340738843,953.7582849684586,1812.1407414400715,1812.1407414400715,0.1324681238615665
2016-02-18 11:37:00-07:00,675.9849859890182,954.6157400544348,1813.7699061034261,1813.7699061034261,0.13247002125075896
2016-02-18 11:38:00-07:00,676.6949511691506,955.4536056499263,1815.36185073486,1815.36185073486,0.13247191863995145
2016-02-18 11:39:00-07:00,677.3885157067963,956.2718777124943,1816.9165676537393,1816.9165676537393,0.1324738160291439
2016-02-18 11:40:00-07:00,678.0656660177318,957.0705523275416,1818.434049422329,1818.434049422329,0.1324757134183364
2016-02-18 11:41:00-07:00,678.7263888411329,957.8496257061124,1819.9142888416136,1819.9142888416136,0.13247761080752884
2016-02-18 11:42:00-07:00,679.3706712397933,958.6090941826787,1821.3572789470895,1821.3572789470895,0.13247950819672133
2016-02-18 11:43:00-07:00,679.9985006001667,959.3489542130568,1822.7630130048078,1822.7630130048078,0.1324814055859138
2016-02-18 11:44:00-07:00,680.6098646325622,960.069202372288,1824.131484507347,1824.131484507347,0.13248330297510627
2016-02-18 11:45:00-07:00,681.2047513713428,960.7698353525591,1825.4626871698624,1825.4626871698624,0.13248520036429873
2016-02-18 11:46:00-07:00,681.7831491749506,961.45084996123,1826.7566149263369,1826.7566149263369,0.1324870977534912
2016-02-18 11:47:00-07:00,682.3450467260963,962.112243118843,1828.0132619258018,1828.0132619258018,0.13248899514268367
2016-02-18 11:48:00-07:00,682.8904330319511,962.7540118571785,1829.232622528639,1829.232622528639,0.13249089253187615
2016-02-18 11:49:00-07:00,683.4192974241566,963.3761533174079,1830.414691303075,1830.414691303075,0.13249278992106864
2016-02-18 11:50:00-07:00,683.9316295590066,963.9786647482323,1831.5594630216412,1831.5594630216412,0.1324946873102611
2016-02-18 11:51:00-07:00,684.4274194176339,964.5615435040838,1832.6669326577594,1832.6669326577594,0.13249658469945358
2016-02-18 11:52:00-07:00,684.9066573060009,965.1247870434211,1833.7370953825,1833.7370953825,0.13249848208864604
2016-02-18 11:53:00-07:00,685.3693338550981,965.6683929269874,1834.769946561276,1834.769946561276,0.13250037947783852
2016-02-18 11:54:00-07:00,685.8154400210124,966.1923588162039,1835.7654817507873,1835.7654817507873,0.13250227686703098
2016-02-18 11:55:00-07:00,686.2449670851264,966.6966824715463,1836.7236966959379,1836.7236966959379,0.13250417425622346
2016-02-18 11:56:00-07:00,686.6579066540585,967.181361751023,1837.6445873269436,1837.6445873269436,0.13250607164541592
2016-02-18 11:57:00-07:00,687.0542506599285,967.6463946086668,1838.528149756467,1838.528149756467,0.1325079690346084
2016-02-18 11:58:00-07:00,687.4339913603864,968.0917790931082,1839.3743802769056,1839.3743802769056,0.13250986642380086
2016-02-18 11:59:00-07:00,687.797121338676,968.5175133461761,1840.1832753577346,1840.1832753577346,0.13251176381299334
2016-02-18 12:00:00-07:00,688.1436335036728,968.9235956015652,1840.954831642974,1840.954831642974,0.1325136612021858
2016-02-18 12:01:00-07:00,688.473521090203,969.3100241835731,1841.6890459487888,1841.6890459487888,0.13251555859137829
2016-02-18 12:02:00-07:00,688.7867776588652,969.6767975058565,1842.3859152611271,1842.3859152611271,0.13251745598057074
2016-02-18 12:03:00-07:00,689.0833970962107,970.0239140702668,1843.045436733507,1843.045436733507,0.13251935336976323
2016-02-18 12:04:00-07:00,689.3633736149036,970.3513724657632,1843.66760768495,1843.66760768495,0.13252125075895568
2016-02-18 12:05:00-07:00,689.6267017536261,970.6591713673251,1844.2524255979179,1844.2524255979179,0.13252314814814817
2016-02-18 12:06:00-07:00,689.8733763772227,970.947309534959,1844.7998881164222,1844.7998881164222,0.13252504553734062
2016-02-18 12:07:00-07:00,690.1033926768562,971.2157858127865,1845.3099930442945,1845.3099930442945,0.1325269429265331
2016-02-18 12:08:00-07:00,690.3167461698899,971.4645991281334,1845.7827383434535,1845.7827383434535,0.13252884031572557
2016-02-18 12:09:00-07:00,690.5134327000588,971.6937484907105,1846.2181221323501,1846.2181221323501,0.13253073770491805
2016-02-18 12:10:00-07:00,690.6934484374915,971.9032329918641,1846.6161426845417,1846.6161426845417,0.1325326350941105
