7/3/2017 0:00	PU Load	PU Irradiance
422	0.665958019	0.700707655
423	0.669810212	0.531822399
424	0.796506463	0.429883448
425	0.778529351	0.172440247
426	0.846371808	0.078637436
427	0.862636834	0.018884049
428	0.851936086	0.001123413
429	0.832246889	0
430	0.75241962	0
431	0.572219842	0
432	0.510369685	0
433	0.458792254	0
434	0.423266264	0
435	0.410853431	0
436	0.380249474	0
437	0.383459635	0.013423018
438	0.411495463	0.086841059
439	0.47420145	0.252220979
440	0.479765729	0.392493461
441	0.517738322	0.678605772
442	0.758179052	0.611024561
443	0.810147134	0.753596161
444	0.811658636	0.662969524
445	0.767089625	0.717470336
446	0.749374479	0.695056958
447	0.740376234	0.461494003
448	0.733458237	0.454887107
449	0.694306228	0.156360171
450	0.684204347	0.068274511
451	0.675784648	0.020334986
452	0.656998977	0.001749584
453	0.663536901	0
454	0.60575316	0
455	0.547541398	0
456	0.489757657	0
457	0.439036481	0
458	0.407362472	0
459	0.388743115	0
460	0.362419373	0
461	0.362121573	0.007398161
462	0.373698192	0.091822288
463	0.394070219	0.307466033
464	0.048678739	0.516732762
465	0.088457495	0.682560139
466	0.189913652	0.79604941
467	0.234013703	0.858640335
468	0.262449601	0.825061943
469	0.24850409	0.795844648
470	0.672424971	0.736833705
471	0.613895325	0.619851561
472	0.611125817	0.467529235
473	0.610997846	0.238658562
474	0.600656286	0.128175359
475	0.585904184	0.025241954
476	0.576453193	0
477	0.57086899	0
478	0.534700543	0
479	0.492753807	0
480	0.45080707	0
481	0.413140761	0
482	0.383178837	0
483	0.370337982	0
484	0.359851218	0
485	0.35591387	0.002845118
486	0.369814922	0
487	0.404489672	0.058908385
488	0.473505325	0.17333073
489	0.541725782	0.358694376
490	0.585522565	0.246955492
491	0.58466233	0.793435264
492	0.596741784	0.602113537
493	0.572599388	0.03656975
494	0.584424327	0
495	0.582018478	0
496	0.585189679	0
497	0.513952074	0
498	0.52615246	0
499	0.521385265	0
500	0.509526187	0
501	0.503454554	0
502	0.47092429	0
503	0.412070707	0
504	0.373762153	0
505	0.345298304	0
506	0.326465149	0
507	0.305705686	0
508	0.299285364	0
509	0.317279574	0
510	0.352665656	0
511	0.392063444	0
512	0.429214421	0
513	0.439008114	0
514	0.453896545	0
515	0.440132557	0.156739792
516	0.460788282	0.694667284
517	0.466214013	0.833647885
518	0.458817341	0.752836534
519	0.463499055	0.627419538
520	0.448707671	0.39232326
521	0.446786876	0.232045274
522	0.453562241	0.071605438
523	0.443308307	0.018242461
524	0.447826426	0.001515079
525	0.429833809	0
526	0.384890922	0
527	0.344870283	0
528	0.325181085	0
529	0.291152745	0
530	0.278525901	0
531	0.270393494	0
532	0.271677558	0
533	0.285187528	0.007560654
534	0.320740249	0.088488021
535	0.374343654	0.298505159
536	0.412105545	0.506054006
537	0.423083803	0.627529194
538	0.444066135	0.722109909
539	0.421104128	0.846663789
540	0.445250922	0.854078909
541	0.471207117	0.758203904
542	0.515361571	0.450202117
543	0.420159935	0.06698292
544	0.450829476	0.288183926
545	0.447855149	0.169863713
546	0.425594227	0.11198113
547	0.45243486	0.023041733
548	0.453296812	0.000525155
549	0.457655413	0
550	0.416136911	0
551	0.361991352	0
552	0.318546541	0
553	0.2980013	0
554	0.276385794	0
555	0.27231959	0
556	0.27531574	0
557	0.283665584	0.007498085
558	0.323317439	0.086575944
559	0.445074179	0.300134777
560	0.496659795	0.512262105
561	0.536810894	0.685435546
562	0.583915964	0.761462112
563	0.603726329	0.825426211
564	0.578818156	0.835922078
565	0.424943796	0.805186653
